iter	Passed	Remaining
0	4	4744
1	8	4381
2	12	4282
3	17	4380
4	21	4308
5	25	4291
6	29	4239
7	33	4196
8	37	4181
9	42	4158
10	46	4137
11	50	4125
12	54	4109
13	58	4094
14	62	4077
15	66	4070
16	70	4056
17	77	4207
18	81	4218
19	85	4199
20	89	4183
21	95	4224
22	100	4275
23	104	4257
24	108	4238
25	112	4224
26	116	4211
27	120	4199
28	125	4185
29	129	4172
30	133	4162
31	137	4151
32	141	4152
33	145	4142
34	149	4134
35	154	4126
36	158	4120
37	162	4109
38	166	4101
39	170	4092
40	177	4159
41	185	4232
42	192	4294
43	210	4574
44	215	4579
45	220	4582
46	225	4572
47	230	4563
48	234	4548
49	238	4529
50	242	4512
51	246	4497
52	250	4481
53	255	4467
54	259	4451
55	263	4438
56	267	4424
57	271	4410
58	275	4396
59	279	4383
60	283	4369
61	287	4356
62	292	4345
63	296	4331
64	300	4317
65	305	4322
66	309	4311
67	313	4299
68	317	4289
69	322	4278
70	326	4266
71	330	4255
72	334	4243
73	338	4231
74	342	4219
75	346	4209
76	353	4235
77	357	4227
78	364	4250
79	371	4275
80	379	4300
81	395	4427
82	399	4418
83	404	4407
84	408	4399
85	413	4391
86	417	4382
87	421	4370
88	425	4358
89	430	4348
90	434	4336
91	438	4324
92	442	4313
93	446	4301
94	450	4289
95	454	4279
96	458	4268
97	462	4259
98	466	4249
99	470	4238
100	474	4227
101	478	4216
102	483	4206
103	487	4197
104	491	4189
105	495	4179
106	499	4168
107	503	4160
108	507	4151
109	512	4142
110	516	4134
111	520	4125
112	527	4138
113	534	4150
114	540	4163
115	548	4177
116	555	4194
117	565	4227
118	574	4252
119	578	4243
120	582	4235
121	586	4224
122	591	4215
123	595	4205
124	600	4201
125	604	4192
126	608	4183
127	612	4173
128	616	4165
129	621	4156
130	625	4148
131	629	4139
132	633	4130
133	638	4124
134	642	4115
135	646	4108
136	650	4099
137	655	4092
138	660	4093
139	665	4086
140	669	4078
141	673	4071
142	681	4083
143	688	4094
144	696	4104
145	704	4117
146	711	4129
147	721	4153
148	726	4149
149	730	4140
150	735	4133
151	739	4125
152	743	4117
153	748	4109
154	752	4100
155	756	4091
156	760	4083
157	764	4074
158	768	4065
159	772	4057
160	776	4048
161	782	4047
162	786	4038
163	790	4029
164	794	4022
165	798	4013
166	803	4005
167	807	3997
168	811	3989
169	815	3981
170	822	3986
171	829	3991
172	836	3996
173	843	4004
174	850	4007
175	857	4013
176	873	4061
177	878	4055
178	882	4047
179	888	4045
180	892	4036
181	896	4030
182	901	4024
183	905	4015
184	910	4012
185	914	4004
186	919	3995
187	923	3987
188	927	3978
189	931	3970
190	935	3962
191	939	3954
192	943	3946
193	948	3938
194	952	3930
195	956	3922
196	960	3914
197	964	3906
198	969	3901
199	973	3893
200	977	3885
201	981	3877
202	985	3869
203	989	3861
204	996	3865
205	1003	3866
206	1009	3868
207	1017	3874
208	1024	3878
209	1031	3881
210	1038	3884
211	1049	3900
212	1053	3894
213	1058	3886
214	1062	3879
215	1066	3871
216	1070	3864
217	1075	3856
218	1079	3851
219	1084	3843
220	1088	3836
221	1092	3829
222	1096	3821
223	1101	3816
224	1105	3808
225	1109	3801
226	1114	3794
227	1118	3786
228	1123	3782
229	1128	3776
230	1132	3770
231	1136	3763
232	1141	3756
233	1145	3751
234	1150	3744
235	1154	3737
236	1158	3730
237	1166	3733
238	1171	3728
239	1176	3726
240	1183	3726
241	1189	3727
242	1196	3728
243	1204	3730
244	1211	3733
245	1218	3734
246	1225	3735
247	1241	3765
248	1247	3761
249	1252	3756
250	1256	3748
251	1260	3741
252	1265	3735
253	1269	3727
254	1273	3719
255	1277	3712
256	1281	3704
257	1285	3696
258	1289	3689
259	1293	3681
260	1297	3674
261	1301	3667
262	1305	3659
263	1309	3651
264	1314	3644
265	1318	3637
266	1322	3630
267	1326	3622
268	1330	3616
269	1339	3622
270	1346	3623
271	1353	3623
272	1361	3626
273	1368	3626
274	1375	3626
275	1382	3627
276	1395	3643
277	1400	3637
278	1404	3630
279	1408	3622
280	1412	3615
281	1417	3609
282	1421	3601
283	1426	3596
284	1430	3589
285	1435	3582
286	1440	3579
287	1444	3572
288	1448	3564
289	1454	3560
290	1458	3553
291	1464	3551
292	1468	3544
293	1473	3538
294	1477	3531
295	1482	3525
296	1487	3521
297	1492	3514
298	1496	3508
299	1500	3500
300	1504	3494
301	1513	3498
302	1520	3497
303	1527	3498
304	1535	3497
305	1542	3498
306	1550	3499
307	1557	3499
308	1564	3499
309	1570	3496
310	1580	3502
311	1586	3498
312	1590	3492
313	1595	3484
314	1600	3480
315	1604	3473
316	1609	3466
317	1613	3459
318	1617	3452
319	1621	3446
320	1625	3438
321	1630	3432
322	1634	3425
323	1638	3418
324	1642	3411
325	1646	3404
326	1650	3397
327	1654	3390
328	1658	3383
329	1662	3376
330	1667	3369
331	1671	3362
332	1675	3355
333	1682	3354
334	1690	3355
335	1698	3356
336	1705	3355
337	1713	3355
338	1720	3353
339	1727	3352
340	1733	3350
341	1747	3362
342	1753	3359
343	1759	3355
344	1774	3368
345	1786	3375
346	1790	3369
347	1794	3362
348	1798	3354
349	1802	3348
350	1811	3348
351	1818	3348
352	1825	3346
353	1832	3343
354	1839	3342
355	1846	3341
356	1854	3340
357	1862	3339
358	1872	3344
359	1879	3340
360	1884	3336
361	1889	3329
362	1894	3324
363	1898	3317
364	1903	3311
365	1908	3305
366	1912	3299
367	1918	3294
368	1922	3287
369	1926	3280
370	1931	3273
371	1935	3266
372	1940	3262
373	1945	3255
374	1949	3249
375	1953	3242
376	1957	3235
377	1962	3229
378	1967	3223
379	1971	3217
380	1980	3218
381	1988	3217
382	1995	3215
383	2003	3214
384	2010	3211
385	2018	3210
386	2025	3208
387	2032	3206
388	2040	3204
389	2061	3223
390	2069	3223
391	2075	3219
392	2081	3214
393	2085	3207
394	2089	3200
395	2094	3194
396	2098	3187
397	2103	3182
398	2107	3174
399	2112	3168
400	2116	3161
401	2121	3155
402	2127	3151
403	2131	3144
404	2136	3138
405	2140	3131
406	2144	3124
407	2152	3123
408	2159	3121
409	2167	3118
410	2173	3114
411	2180	3112
412	2188	3109
413	2195	3107
414	2202	3104
415	2211	3104
416	2221	3105
417	2225	3098
418	2229	3091
419	2233	3084
420	2237	3077
421	2242	3071
422	2247	3065
423	2251	3058
424	2255	3051
425	2259	3044
426	2264	3038
427	2268	3031
428	2272	3024
429	2276	3017
430	2280	3010
431	2284	3004
432	2288	2997
433	2293	2990
434	2297	2983
435	2301	2976
436	2305	2969
437	2309	2962
438	2313	2956
439	2324	2958
440	2331	2955
441	2338	2952
442	2345	2949
443	2352	2945
